Comment,Designator,Footprint,LCSC
R,"R1,R2,R3,R4",R_1206_3216Metric,C328409
Connector_VIK-keyboard,"VIK_K3,VIK_K6",Connector_VIK-horizontal-keyboard,C479750
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D5,D6,D7,D8,D9",Diode_1N4148-SOD123,C81598
Switch,SW19,Switch_MXKS-hotswap-south,
Switch,SW2,Switch_MXKS-hotswap-south,
Switch,SW32,Switch_MXKS-hotswap-south,
MountingHole,H19,Hole_M2,
Switch,SW20,Switch_MXKS-hotswap-south,
MountingHole,BR1,Hole_Breakaway-Tabs,
YS-SK6812MINI-E,LED15,LED_SK6812-MINI-E,
YS-SK6812MINI-E,LED25,LED_SK6812-MINI-E,
YS-SK6812MINI-E,LED23,LED_SK6812-MINI-E,
Switch,SW4,Switch_MXKS-hotswap-south,
Switch,SW16,Switch_MXKS-hotswap-south,
Switch,SW11,Switch_MXKS-hotswap-south,
YS-SK6812MINI-E,LED35,LED_SK6812-MINI-E,
Switch,SW18,Switch_MXKS-hotswap-south,
YS-SK6812MINI-E,LED20,LED_SK6812-MINI-E,
MountingHole,H13,Hole_M2,
YS-SK6812MINI-E,LED1,LED_SK6812-MINI-E,
YS-SK6812MINI-E,LED2,LED_SK6812-MINI-E,
rp2040-zero,MCU1,MCU_rp2040-zero-tht-pads,
YS-SK6812MINI-E,LED21,LED_SK6812-MINI-E,
YS-SK6812MINI-E,LED9,LED_SK6812-MINI-E,
Switch,SW34,Switch_MXKS-hotswap-south,
YS-SK6812MINI-E,LED17,LED_SK6812-MINI-E,
YS-SK6812MINI-E,LED31,LED_SK6812-MINI-E,
RotaryEncoder_Switch,RE1,RotaryEncoder_EC11,
Switch,SW35,Switch_MXKS-hotswap-south,
Switch,SW29,Switch_MXKS-hotswap-south,
YS-SK6812MINI-E,LED38,LED_SK6812-MINI-E,
MountingHole,H5,Hole_M2,
YS-SK6812MINI-E,LED4,LED_SK6812-MINI-E,
YS-SK6812MINI-E,LED11,LED_SK6812-MINI-E,
